id;name;type;is sub-project of;organization;category;client;invoice contact;standard calendar;project code;contract code;client code;sponsor;manager;issuer;creation date;last update;color;description;objectives;validated start date;planned start date;real start date;requested start date;validated end date;planned end date;real end date;requested end date;validated duration;planned duration;real duration;requested duration;validated work;assigned work;real work;left work;revised work;validated cost;assigned cost;real cost;left cost;revised cost;validated expenses;assigned expenses;real expenses;left expenses;revised expenses;risk reserve amount;total validated costs;total assigned costs;total real costs;total left costs;total revised costs;progress;expected;wbs;work margin;work margin (%);cost margin;cost margin (%);priority;strength;weakness;opportunity;threats;status;strategic value;return on investment;risk level;health status;quality level;trend;overall progress;fix planning;paused;non extendable project;allow reduction;under construction;exclude from global plan;validated work treatment;in progress;start date;done;done date;closed;closed date;cancelled;AM start time;AM end time;PM start time;PM end time;
70;"Help Desk";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Isabella  Damaso";"Nieves Fraile";2024-10-21;2024-10-21 15:11:30;"";"";"";;2024-01-22;2024-01-22;;;2026-08-06;;;;646;0;;0,00;0,00;3504,13;0,00;3504,13;;;;;;;;;;;;;;;;;100;0;"1.10";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
72;"MA";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Eve Sullivan";"general administrator backup";2026-02-20;2026-02-20 12:31:00;"";"";"";;;2026-02-20;;;2026-08-05;;;;119;0;;0,00;0,00;149,39;0,00;149,39;;;;;;;;;;;;;;;;;100;0;"1.11";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
73;"PL & Others";"Internal";"AP";"AP";"";"";"";"default";"";"";"";"";"Eve Sullivan";"general administrator backup";2026-02-20;2026-02-20 12:31:27;"";"";"";;;2026-02-18;;;2026-08-04;;;;120;0;;0,00;0,00;39,28;0,00;39,28;;;;;;;;;;;;;;;;;100;0;"1.12";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
29;"Banking";"Internal";"";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-15;2026-03-18 10:05:49;"";"";"";;2024-03-27;2024-04-15;;;2026-08-06;;;;588;0;;0,00;0,00;4406,11;477,91;4884,02;;;;;;;;;;;;;;;;;90;0;"2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;1;2026-02-17;0;;0;;0;;;;;
9;"Payment";"Internal";"Banking";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"";2024-02-01;2026-02-17 10:17:29;"#696969";"";"";;2024-03-27;2024-04-15;;;2026-08-06;;;;588;0;;0,00;0,00;1752,68;477,91;2230,59;;;;;;;;;;;;;;;;;79;0;"2.1";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;1;2026-02-17;0;;0;;0;;;;;
31;"PS";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-15;2024-10-21 12:12:14;"";"";"";;;2024-04-15;;;2026-07-13;;;;570;0;;0,00;0,00;201,08;42,00;243,08;;;;;;;;;;;;;;;;;83;0;"2.1.1";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
32;"BE";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-15;2024-04-15 16:00:46;"";"";"";;;2024-04-18;;;2026-08-06;;;;585;0;;0,00;0,00;72,83;0,00;72,83;;;;;;;;;;;;;;;;;100;0;"2.1.2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
33;"IT";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-15;2024-04-15 16:00:47;"";"";"";;;2024-04-16;;;2026-08-05;;;;586;0;;0,00;0,00;69,61;0,00;69,61;;;;;;;;;;;;;;;;;100;0;"2.1.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
34;"DE";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-15;2024-04-15 16:00:47;"";"";"";;;2024-04-15;;;2026-07-22;;;;577;0;;0,00;0,00;73,93;0,00;73,93;;;;;;;;;;;;;;;;;100;0;"2.1.4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
35;"IB";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-15;2024-04-15 16:00:47;"";"";"";;;2024-04-15;;;2026-08-06;;;;588;0;;0,00;0,00;402,89;0,00;402,89;;;;;;;;;;;;;;;;;100;0;"2.1.5";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
36;"UK";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-15;2024-04-15 16:00:47;"";"";"";;;2024-04-15;;;2026-07-14;;;;571;0;;0,00;0,00;561,39;435,91;997,30;;;;;;;;;;;;;;;;;56;0;"2.1.6";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
37;"FR";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-15;2024-04-15 16:00:47;"";"";"";;2024-03-27;2024-04-15;;;2026-07-24;;;;579;0;;0,00;0,00;259,41;0,00;259,41;;;;;;;;;;;;;;;;;100;0;"2.1.7";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
69;"PMS-TMS";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-10-21;2024-10-25 12:59:28;"";"";"";;;2024-10-21;;;2026-07-24;;;;448;0;;0,00;0,00;96,54;0,00;96,54;;;;;;;;;;;;;;;;;100;0;"2.1.8";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
74;"PL & Others";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"general administrator backup";2026-03-18;2026-03-18 09:49:21;"";"";"";;;2026-03-20;;;2026-06-02;;;;53;0;;0,00;0,00;15,01;0,00;15,01;;;;;;;;;;;;;;;;;100;0;"2.1.9";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
75;"Marruecos";"Internal";"Payment";"Banking";"";"";"";"default";"";"";"";"";"";"general administrator backup";2026-08-06;2026-08-06 13:42:06;"";"";"";;;;;;;;;;0;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;0;0;"2.1.10";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
14;"Collections";"Internal";"Banking";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-01;2024-04-15 16:57:23;"#696969";"";"";;;2024-04-15;;;2026-08-05;;;;587;0;;0,00;0,00;583,23;0,00;583,23;;;;;;;;;;;;;;;;;100;0;"2.2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
16;"Treasury";"Internal";"Banking";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-01;2024-04-15 15:33:04;"#696969";"";"";;;2024-04-15;;;2026-08-06;;;;588;0;;0,00;0,00;1343,90;0,00;1343,90;;;;;;;;;;;;;;;;;100;0;"2.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
38;"Bank reconciliation";"Internal";"Banking";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-04-15;2024-04-15 17:00:59;"";"";"";;;2024-04-15;;;2026-08-03;;;;585;0;;0,00;0,00;369,59;0,00;369,59;;;;;;;;;;;;;;;;;100;0;"2.4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
51;"Management";"Internal";"Banking";"Banking";"";"";"";"default";"";"";"";"";"Francisco  Manzanilla";"Nieves Fraile";2024-05-27;2024-05-30 12:41:36;"";"";"";;;2024-05-27;;;2026-07-31;;;;556;0;;0,00;0,00;356,71;0,00;356,71;;;;;;;;;;;;;;;;;100;0;"2.5";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
30;"Q2C";"Internal";"";"Q2C";"";"";"";"default";"";"";"";"";"Marcos  Ingelmo Gomez";"Nieves Fraile";2024-04-15;2024-04-15 15:33:05;"";"";"";;2024-04-12;2024-04-12;;;2026-08-05;;;;588;0;;0,00;0,00;7676,62;0,00;7676,62;;;;;;;;;;;;;;;;;100;0;"3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
18;"Credit&Risk";"Internal";"Q2C";"Q2C";"";"";"";"default";"";"";"";"";"Maria Eugenia  Molina Garcia";"Nieves Fraile";2024-04-10;2024-04-15 15:33:05;"#98fb98";"";"";;;2024-04-15;;;2026-08-05;;;;587;0;;0,00;0,00;2002,85;0,00;2002,85;;;;;;;;;;;;;;;;;100;0;"3.1";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
24;"Cr. Packaging Iberia";"Internal";"Credit&Risk";"Q2C";"";"";"";"default";"";"";"";"";"Maria Eugenia  Molina Garcia";"Nieves Fraile";2024-04-11;2024-04-15 15:33:05;"";"";"";;;2024-04-15;;;2026-08-05;;;;587;0;;0,00;0,00;1569,61;0,00;1569,61;;;;;;;;;;;;;;;;;100;0;"3.1.1";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
25;"Cr. Recycling Iberia";"Internal";"Credit&Risk";"Q2C";"";"";"";"default";"";"";"";"";"Maria Eugenia  Molina Garcia";"Nieves Fraile";2024-04-11;2024-04-15 15:33:05;"";"";"";;;2024-04-15;;;2026-07-31;;;;584;0;;0,00;0,00;137,28;0,00;137,28;;;;;;;;;;;;;;;;;100;0;"3.1.2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
26;"Cr. Paper";"Internal";"Credit&Risk";"Q2C";"";"";"";"default";"";"";"";"";"Maria Eugenia  Molina Garcia";"Nieves Fraile";2024-04-11;2024-04-15 15:33:05;"";"";"";;;2024-04-15;;;2026-08-05;;;;587;0;;0,00;0,00;197,22;0,00;197,22;;;;;;;;;;;;;;;;;100;0;"3.1.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
27;"Cr. Recycling FR";"Internal";"Credit&Risk";"Q2C";"Run";"";"";"default";"";"";"";"";"Maria Eugenia  Molina Garcia";"Nieves Fraile";2024-04-11;2025-07-22 08:41:04;"";"";"";;;2024-04-16;;;2026-04-28;;;;515;0;;0,00;0,00;8,84;0,00;8,84;;;;;;;;;;;;;;;;;100;0;"3.1.4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
52;"Projects";"Internal";"Credit&Risk";"Q2C";"";"";"";"default";"";"";"";"";"Maria Eugenia  Molina Garcia";"Nieves Fraile";2024-05-29;2024-05-29 13:37:24;"";"";"";;;2024-06-03;;;2026-03-27;;;;461;0;;0,00;0,00;16,50;0,00;16,50;;;;;;;;;;;;;;;;;100;0;"3.1.5";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
71;"Cr. Packaging Francia";"Internal";"Credit&Risk";"Q2C";"Run";"";"";"default";"";"";"";"";"";"Nieves Fraile";2025-07-22;2025-07-22 08:43:56;"";"";"";;;2025-07-09;;;2026-07-31;;;;274;0;;0,00;0,00;73,41;0,00;73,41;;;;;;;;;;;;;;;;;100;0;"3.1.6";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
19;"Billing";"Internal";"Q2C";"Q2C";"";"";"";"default";"";"";"";"";"Salome Nacher";"Nieves Fraile";2024-04-10;2024-05-30 12:39:49;"#98fb98";"";"";;;2024-04-12;;;2026-07-31;;;;585;0;;0,00;0,00;1220,97;0,00;1220,97;;;;;;;;;;;;;;;;;100;0;"3.2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
17;"Collections";"Internal";"Q2C";"Q2C";"";"";"";"default";"";"";"";"";"Zoilo  Gil Perez";"Nieves Fraile";2024-04-10;2024-11-11 17:02:33;"#98fb98";"";"";;2024-04-15;2024-04-15;;;2026-07-31;;;;584;0;;0,00;0,00;3488,93;0,00;3488,93;;;;;;;;;;;;;;;;;100;0;"3.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
20;"Col. Packaging Iberia";"Internal";"Collections";"Q2C";"";"";"";"default";"";"";"";"";"Zoilo  Gil Perez";"Nieves Fraile";2024-04-11;2024-11-11 17:02:50;"";"";"";;2024-04-15;2024-04-15;;;2026-07-31;;;;584;0;;0,00;0,00;2571,09;0,00;2571,09;;;;;;;;;;;;;;;;;100;0;"3.3.1";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
21;"Col. Recycling Iberia";"Internal";"Collections";"Q2C";"";"";"";"default";"";"";"";"";"Zoilo  Gil Perez";"Nieves Fraile";2024-04-11;2024-11-11 17:02:59;"";"";"";;;2024-04-15;;;2026-06-26;;;;559;0;;0,00;0,00;257,19;0,00;257,19;;;;;;;;;;;;;;;;;100;0;"3.3.2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
22;"Col. Paper";"Internal";"Collections";"Q2C";"";"";"";"default";"";"";"";"";"Zoilo  Gil Perez";"Nieves Fraile";2024-04-11;2024-11-11 17:03:08;"";"";"";;;2024-04-15;;;2026-05-28;;;;538;0;;0,00;0,00;233,71;0,00;233,71;;;;;;;;;;;;;;;;;100;0;"3.3.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
23;"Col. Recycling FR";"Internal";"Collections";"Q2C";"";"";"";"default";"";"";"";"";"Zoilo  Gil Perez";"Nieves Fraile";2024-04-11;2024-11-11 17:03:17;"";"";"";;;2024-04-15;;;2026-06-11;;;;548;0;;0,00;0,00;36,71;0,00;36,71;;;;;;;;;;;;;;;;;100;0;"3.3.4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
53;"Projects";"Internal";"Collections";"Q2C";"";"";"";"default";"";"";"";"";"Zoilo  Gil Perez";"Nieves Fraile";2024-05-29;2024-11-11 17:03:29;"";"";"";;;2024-05-29;;;2026-07-31;;;;554;0;;0,00;0,00;390,23;0,00;390,23;;;;;;;;;;;;;;;;;100;0;"3.3.5";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
54;"Management";"Internal";"Q2C";"Q2C";"";"";"";"default";"";"";"";"";"Marcos  Ingelmo Gomez";"Nieves Fraile";2024-05-29;2024-05-29 15:48:23;"";"";"";;;2024-05-27;;;2026-08-05;;;;559;0;;0,00;0,00;963,87;0,00;963,87;;;;;;;;;;;;;;;;;100;0;"3.4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
40;"R2R";"Internal";"";"R2R";"";"";"";"default";"";"";"";"";"Rut  Alvarez";"Nieves Fraile";2024-04-16;2024-04-16 14:32:52;"";"";"";;;2024-05-16;;;2026-12-28;;;;668;0;;0,00;0,00;7530,69;0,00;7530,69;;;;;;;;;;;;;;;;;100;0;"4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
45;"Iberia Packaging";"Internal";"R2R";"R2R";"";"";"";"default";"";"";"";"";"Rut  Alvarez";"Nieves Fraile";2024-04-16;2024-04-16 14:37:17;"";"";"";;;2024-05-20;;;2026-04-30;;;;495;0;;0,00;0,00;2082,68;0,00;2082,68;;;;;;;;;;;;;;;;;100;0;"4.1";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
41;"Cluster Est Iberia Packaging";"Internal";"Iberia Packaging";"R2R";"";"";"";"default";"";"";"";"";"Rut  Alvarez";"Nieves Fraile";2024-04-16;2024-04-16 14:37:17;"";"";"";;;2024-05-20;;;2026-03-20;;;;466;0;;0,00;0,00;454,48;0,00;454,48;;;;;;;;;;;;;;;;;100;0;"4.1.1";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
42;"Cluster West  Iberia Packaging";"Internal";"Iberia Packaging";"R2R";"";"";"";"default";"";"";"";"";"Rut  Alvarez";"Nieves Fraile";2024-04-16;2024-04-16 14:37:17;"";"";"";;;2024-05-20;;;2026-04-21;;;;488;0;;0,00;0,00;526,28;0,00;526,28;;;;;;;;;;;;;;;;;100;0;"4.1.2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
44;"Cluster Portugal Iberia Packaging";"Internal";"Iberia Packaging";"R2R";"";"";"";"default";"";"";"";"";"Rut  Alvarez";"Nieves Fraile";2024-04-16;2024-04-16 14:37:17;"";"";"";;;2024-05-20;;;2026-04-20;;;;487;0;;0,00;0,00;541,45;0,00;541,45;;;;;;;;;;;;;;;;;100;0;"4.1.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
43;"Cluster Tecnicarton Iberia Packaging";"Internal";"Iberia Packaging";"R2R";"";"";"";"default";"";"";"";"";"";"Nieves Fraile";2024-04-16;2024-04-16 14:37:17;"";"";"";;;2024-05-20;;;2026-04-30;;;;495;0;;0,00;0,00;560,47;0,00;560,47;;;;;;;;;;;;;;;;;100;0;"4.1.4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
46;"Cluster Recycling";"Internal";"R2R";"R2R";"";"";"";"default";"";"";"";"";"Cristina  Varela Rico";"Nieves Fraile";2024-04-16;2024-04-16 14:38:21;"";"";"";;;2024-05-20;;;2026-05-26;;;;513;0;;0,00;0,00;580,63;0,00;580,63;;;;;;;;;;;;;;;;;100;0;"4.2";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
47;"Cluster Paper";"Internal";"R2R";"R2R";"";"";"";"default";"";"";"";"";"Cristina  Varela Rico";"Nieves Fraile";2024-04-16;2024-04-16 14:48:37;"";"";"";;;2024-05-20;;;2026-08-05;;;;564;0;;0,00;0,00;736,83;0,00;736,83;;;;;;;;;;;;;;;;;100;0;"4.3";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
48;"Cluster France";"Internal";"R2R";"R2R";"";"";"";"default";"";"";"";"";"Cristina  Varela Rico";"Nieves Fraile";2024-04-16;2024-04-16 14:49:23;"";"";"";;;2024-05-20;;;2026-12-28;;;;666;0;;0,00;0,00;1195,34;0,00;1195,34;;;;;;;;;;;;;;;;;100;0;"4.4";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
49;"Cross Tasks";"Internal";"R2R";"R2R";"";"";"";"default";"";"";"";"";"Cristina  Varela Rico";"Nieves Fraile";2024-04-16;2024-04-16 14:49:57;"";"";"";;;2024-05-20;;;2026-12-17;;;;660;0;;0,00;0,00;1379,69;0,00;1379,69;;;;;;;;;;;;;;;;;100;0;"4.5";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
50;"Projects";"Internal";"R2R";"R2R";"";"";"";"default";"";"";"";"";"Cristina  Varela Rico";"Nieves Fraile";2024-04-16;2026-03-04 09:14:03;"";"";"";;;2024-05-16;;;2026-12-24;;;;667;0;;0,00;0,00;1555,53;0,00;1555,53;;;;;;;;;;;;;;;;;100;0;"4.6";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
55;"Management";"Internal";"R2R";"R2R";"";"";"";"default";"";"";"";"";"Rut  Alvarez";"Nieves Fraile";2024-05-29;2024-05-29 16:05:43;"";"";"";;;;;;;;;;0;0;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;0;0;"4.7";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
56;"General Management";"Internal";"";"Iberia SSC";"";"";"";"default";"";"";"";"";"Alfonso Barrios";"Nieves Fraile";2024-06-17;2024-06-17 17:52:00;"";"";"";;;2024-06-18;;;2025-11-13;;;;357;0;;0,00;0,00;495,91;0,00;495,91;;;;;;;;;;;;;;;;;100;0;"5";;;;;500;"";"";"";"";"recorded";;;"";"";"";"";"";0;0;0;0;0;0;0;0;;0;;0;;0;;;;;
